[2026-03-26 03:29:32,334][root][INFO] - Epoch:  83 | Loss: 0.0005 | Val - MRR: 0.4384, MR: 4082.27, H@1: 0.394, H@3: 0.466, H@10: 0.515 | Test - MRR: 0.4339 | *
[2026-03-26 03:30:48,662][root][INFO] - Epoch:  84 | Loss: 0.0005 | Val - MRR: 0.4389, MR: 4228.74, H@1: 0.394, H@3: 0.467, H@10: 0.516 | Test - MRR: 0.4358 | *
[2026-03-26 03:32:04,754][root][INFO] - Epoch:  85 | Loss: 0.0005 | Val - MRR: 0.4401, MR: 4140.87, H@1: 0.395, H@3: 0.466, H@10: 0.516 | Test - MRR: 0.4373 | *
[2026-03-26 03:33:20,733][root][INFO] - Epoch:  86 | Loss: 0.0005 | Val - MRR: 0.4410, MR: 4279.53, H@1: 0.397, H@3: 0.468, H@10: 0.515 | Test - MRR: 0.4370 | *
[2026-03-26 03:34:31,090][root][INFO] - Epoch:  87 | Loss: 0.0005 | Val - MRR: 0.4378, MR: 3918.46, H@1: 0.390, H@3: 0.467, H@10: 0.519 | 
[2026-03-26 03:35:48,878][root][INFO] - Epoch:  88 | Loss: 0.0005 | Val - MRR: 0.4414, MR: 4146.36, H@1: 0.398, H@3: 0.464, H@10: 0.517 | Test - MRR: 0.4379 | *
[2026-03-26 03:37:05,071][root][INFO] - Epoch:  89 | Loss: 0.0005 | Val - MRR: 0.4424, MR: 4265.86, H@1: 0.399, H@3: 0.468, H@10: 0.514 | Test - MRR: 0.4392 | *
[2026-03-26 03:38:12,736][root][INFO] - Epoch:  90 | Loss: 0.0005 | Val - MRR: 0.4400, MR: 4218.34, H@1: 0.394, H@3: 0.466, H@10: 0.520 | 
[2026-03-26 03:39:21,100][root][INFO] - Epoch:  91 | Loss: 0.0005 | Val - MRR: 0.4366, MR: 4368.04, H@1: 0.390, H@3: 0.465, H@10: 0.517 | 
[2026-03-26 03:40:36,376][root][INFO] - Epoch:  92 | Loss: 0.0005 | Val - MRR: 0.4431, MR: 4495.54, H@1: 0.401, H@3: 0.468, H@10: 0.514 | Test - MRR: 0.4399 | *
[2026-03-26 03:41:53,777][root][INFO] - Epoch:  93 | Loss: 0.0005 | Val - MRR: 0.4459, MR: 4219.67, H@1: 0.403, H@3: 0.469, H@10: 0.520 | Test - MRR: 0.4449 | *
[2026-03-26 03:43:03,737][root][INFO] - Epoch:  94 | Loss: 0.0005 | Val - MRR: 0.4447, MR: 4429.70, H@1: 0.402, H@3: 0.468, H@10: 0.517 | 
[2026-03-26 03:44:13,282][root][INFO] - Epoch:  95 | Loss: 0.0005 | Val - MRR: 0.4360, MR: 4377.71, H@1: 0.388, H@3: 0.464, H@10: 0.516 | 
[2026-03-26 03:45:29,388][root][INFO] - Epoch:  96 | Loss: 0.0005 | Val - MRR: 0.4464, MR: 4320.39, H@1: 0.405, H@3: 0.467, H@10: 0.519 | Test - MRR: 0.4465 | *
[2026-03-26 03:46:40,712][root][INFO] - Epoch:  97 | Loss: 0.0005 | Val - MRR: 0.4462, MR: 4397.37, H@1: 0.404, H@3: 0.471, H@10: 0.515 | 
[2026-03-26 03:47:52,822][root][INFO] - Epoch:  98 | Loss: 0.0005 | Val - MRR: 0.4426, MR: 4396.99, H@1: 0.399, H@3: 0.467, H@10: 0.515 | 
[2026-03-26 03:49:05,243][root][INFO] - Epoch:  99 | Loss: 0.0005 | Val - MRR: 0.4458, MR: 4286.84, H@1: 0.403, H@3: 0.470, H@10: 0.518 | 
[2026-03-26 03:50:24,978][root][INFO] - Epoch: 100 | Loss: 0.0005 | Val - MRR: 0.4471, MR: 4571.53, H@1: 0.406, H@3: 0.468, H@10: 0.518 | Test - MRR: 0.4437 | *
[2026-03-26 03:51:36,292][root][INFO] - Epoch: 101 | Loss: 0.0005 | Val - MRR: 0.4451, MR: 4486.54, H@1: 0.402, H@3: 0.471, H@10: 0.518 | 
[2026-03-26 03:52:56,159][root][INFO] - Epoch: 102 | Loss: 0.0005 | Val - MRR: 0.4490, MR: 4445.34, H@1: 0.408, H@3: 0.471, H@10: 0.521 | Test - MRR: 0.4433 | *
[2026-03-26 03:54:15,272][root][INFO] - Epoch: 103 | Loss: 0.0005 | Val - MRR: 0.4500, MR: 4456.96, H@1: 0.411, H@3: 0.471, H@10: 0.517 | Test - MRR: 0.4439 | *
[2026-03-26 03:55:27,930][root][INFO] - Epoch: 104 | Loss: 0.0005 | Val - MRR: 0.4459, MR: 4631.26, H@1: 0.404, H@3: 0.469, H@10: 0.518 | 
[2026-03-26 03:56:47,261][root][INFO] - Epoch: 105 | Loss: 0.0005 | Val - MRR: 0.4495, MR: 4495.34, H@1: 0.411, H@3: 0.470, H@10: 0.518 | Test - MRR: 0.4496 | *
[2026-03-26 03:57:58,225][root][INFO] - Epoch: 106 | Loss: 0.0005 | Val - MRR: 0.4480, MR: 4456.45, H@1: 0.407, H@3: 0.471, H@10: 0.515 | 
[2026-03-26 03:59:09,773][root][INFO] - Epoch: 107 | Loss: 0.0005 | Val - MRR: 0.4471, MR: 4558.52, H@1: 0.406, H@3: 0.470, H@10: 0.516 | 
[2026-03-26 04:00:28,536][root][INFO] - Epoch: 108 | Loss: 0.0005 | Val - MRR: 0.4509, MR: 4434.53, H@1: 0.410, H@3: 0.472, H@10: 0.523 | Test - MRR: 0.4484 | *
[2026-03-26 04:01:39,916][root][INFO] - Epoch: 109 | Loss: 0.0005 | Val - MRR: 0.4503, MR: 4538.18, H@1: 0.412, H@3: 0.470, H@10: 0.518 | 
[2026-03-26 04:02:57,537][root][INFO] - Epoch: 110 | Loss: 0.0005 | Val - MRR: 0.4509, MR: 4571.86, H@1: 0.412, H@3: 0.473, H@10: 0.513 | Test - MRR: 0.4440 | *
[2026-03-26 04:04:07,555][root][INFO] - Epoch: 111 | Loss: 0.0005 | Val - MRR: 0.4455, MR: 4568.45, H@1: 0.402, H@3: 0.474, H@10: 0.516 | 
[2026-03-26 04:05:18,558][root][INFO] - Epoch: 112 | Loss: 0.0004 | Val - MRR: 0.4492, MR: 4522.57, H@1: 0.410, H@3: 0.471, H@10: 0.515 | 
[2026-03-26 04:06:35,012][root][INFO] - Epoch: 113 | Loss: 0.0005 | Val - MRR: 0.4520, MR: 4404.97, H@1: 0.414, H@3: 0.472, H@10: 0.520 | Test - MRR: 0.4478 | *
